Node Name	Corrected P-value with Benjamini-Hochberg	Corrected P-Value with Bonferroni	Original P-Value	Total Genes in Gene Set	Total Genes in Input	Total Genes Intersected	Intersecting Genes
ERALPHA	0.0293	0.13243546036860282	0.00018946417792360917	100	3	2	Rps6Ka1_S369,	Mapk14_Y182
STRIATUM	0.0293	0.20544016505027085	0.00029390581552256204	125	3	2	Rps6Ka1_S369,	Mapk14_Y182
BAD	0.0293	0.21196541443320377	0.00030324093624206546	127	3	2	Rps6Ka1_S369,	Mapk14_Y182
ISOQUINOLINES	0.0293	0.24611059818593548	0.0003520895539140708	137	3	2	Rps6Ka1_S369,	Mapk14_Y182
ESTRADIOL	0.0293	0.27151697647039996	0.0003884363039633762	144	3	2	Rps6Ka1_S369,	Mapk14_Y182
PAK	0.0293	0.2865906599714398	0.0004100009441651499	148	3	2	Rps6Ka1_S369,	Mapk14_Y182
BUTADIENES	0.0293	0.3060006610901267	0.000437769186108908	153	3	2	Rps6Ka1_S369,	Mapk14_Y182
NITRILES	0.0293	0.33836793960011496	0.00048407430557956363	161	3	2	Rps6Ka1_S369,	Mapk14_Y182
RECEPTOR-ERBB-2	0.0293	0.385504716499697	0.0005515088934187367	172	3	2	Rps6Ka1_S369,	Mapk14_Y182
U0126	0.0293	0.39440206736411015	0.000564237578489428	174	3	2	Rps6Ka1_S369,	Mapk14_Y182
PLASMA	0.0293	0.4236716006937023	0.0006061110167291878	1076	3	3	Stk39_S383,	Rps6Ka1_S369,	Mapk14_Y182
K	0.0293	0.430996573740325	0.000616590234249392	182	3	2	Stk39_S383,	Mapk14_Y182
LESIONS	0.0293	0.430996573740325	0.000616590234249392	182	3	2	Rps6Ka1_S369,	Mapk14_Y182
HEPATIC	0.0293	0.4498964341811475	0.0006436286612033584	186	3	2	Rps6Ka1_S369,	Mapk14_Y182
EPITHELIUM	0.0293	0.45949690258635595	0.0006573632368903518	188	3	2	Rps6Ka1_S369,	Mapk14_Y182
STAT5-TRANSCRIPTION-FACTOR	0.0293	0.4691976864689118	0.0006712413254204747	190	3	2	Rps6Ka1_S369,	Mapk14_Y182
ANGIOTENSIN	0.0331	0.5825178463081409	0.0008333588645323904	212	3	2	Stk39_S383,	Mapk14_Y182
OXIDATION	0.0331	0.6044218145065384	0.0008646950136001981	216	3	2	Rps6Ka1_S369,	Mapk14_Y182
DENDRITIC	0.0331	0.6725293430409595	0.00096213067673957	228	3	2	Rps6Ka1_S369,	Mapk14_Y182
ER	0.0331	0.6842296187155771	0.0009788692685487512	230	3	2	Rps6Ka1_S369,	Mapk14_Y182
