Node Name	Corrected P-value with Benjamini-Hochberg	Corrected P-Value with Bonferroni	Original P-Value	Total Genes in Gene Set	Total Genes in Input	Total Genes Intersected	Intersecting Genes
COFILIN	0.0349	0.03492260384583759	0.00009949459785138914	72	3	2	Cfl1_S3,	Dstn_S3
ROCK	0.0368	0.10316094124841928	0.00029390581552256204	125	3	2	Cfl1_S3,	Dstn_S3
BETA-ADRENERGIC	0.0368	0.1637202517852881	0.00046643946377574955	158	3	2	Cfl1_S3,	Dstn_S3
GTP	0.0368	0.20713437206550925	0.000590126416141052	178	3	2	Cfl1_S3,	Dstn_S3
PAK1	0.0368	0.2094376567504117	0.0005966884807704037	179	3	2	Cfl1_S3,	Dstn_S3
RHO-ASSOCIATED-KINASES	0.0368	0.2259136600823788	0.0006436286612033584	186	3	2	Cfl1_S3,	Dstn_S3
GLU	0.0368	0.292508961450869	0.0008333588645323904	212	3	2	Cfl1_S3,	Dstn_S3
STAUROSPORINE	0.0368	0.30628904242962	0.000872618354500342	217	3	2	Cfl1_S3,	Dstn_S3
ADHESIONS	0.0368	0.39554104372549365	0.0011268975604714919	247	3	2	Cfl1_S3,	Dstn_S3
FIBRONECTIN	0.0368	0.4050845661171334	0.001154087082954796	250	3	2	Cfl1_S3,	Dstn_S3
ANTIBODY-SPECIFICITY	0.0368	0.4050845661171334	0.001154087082954796	250	3	2	Cfl1_S3,	Dstn_S3
P21-ACTIVATED-KINASES	0.0415	0.521072923283939	0.0014845382429741851	284	3	2	Cfl1_S3,	Dstn_S3
SWINE	0.0415	0.5393407228133354	0.0015365832558784486	289	3	2	Cfl1_S3,	Dstn_S3
FIBERS	0.0440	0.6155062299285694	0.0017535790026454968	309	3	2	Cfl1_S3,	Dstn_S3
RATS-WISTAR	0.0493	0.7390093962789123	0.0021054398754384966	339	3	2	Cfl1_S3,	Dstn_S3
RHO	0.0534	0.8549913177097003	0.002435872700027636	365	3	2	Dstn_S3,	Cfl1_S3
CATALYSIS	0.0696	1.2691674358694653	0.0036158616406537472	446	3	2	Dstn_S3,	Cfl1_S3
GTP-BINDING-PROTEINS	0.0696	1.297339469587708	0.0036961238449792254	451	3	2	Cfl1_S3,	Dstn_S3
INTEGRIN	0.0696	1.3719968237238966	0.003908822859612241	464	3	2	Dstn_S3,	Cfl1_S3
ATP	0.0696	1.4308093330341154	0.004076379866194061	474	3	2	Dstn_S3,	Cfl1_S3
